date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260201,000001,平安银行,2,1083,-119,-13,1091755,1191181198.25,182,56,411,85,0,1103,1083,1094,1096,47,2
20260201,000002,万  科Ａ,2,488,-487,-25,3740525,1853094644.48,370,385,-156,118,0,507,488,506,513,33,2
20260201,000004,*ST国华,2,1262,499,60,55253,67441847.3,782,438,-4625,86,0,1262,1168,1200,1202,4522,2
20260201,000006,深振业Ａ,2,896,-132,-12,380401,337063915.65,584,282,-129654,110,0,913,860,901,908,224,2
20260201,000007,全新好,2,1088,149,16,72764,78957269.5,401,210,82711,79,0,1105,1062,1067,1072,2063,2
20260201,000008,神州高铁,2,310,-313,-10,748408,233975939.99,438,276,-7240,106,0,321,307,317,320,287,2
20260201,000009,中国宝安,2,961,-428,-43,622929,604658566.58,478,242,6563,113,0,1000,952,995,1004,246,2
20260201,000010,美丽生态,2,341,-87,-3,142384,48466746.98,233,168,-9216,80,0,345,337,342,344,1201,2
20260201,000011,深物业A,2,890,-231,-21,97277,86833893,373,185,12346,120,0,911,877,905,911,156,2
20260201,000012,南  玻Ａ,2,465,-127,-6,224317,103920371.68,318,114,7121,74,0,472,457,468,471,108,2
20260201,000014,沙河股份,2,1299,-122,-16,67380,87370262.8,350,278,-7318,67,0,1324,1278,1311,1315,198,2
20260201,000016,深康佳Ａ,2,498,-60,-3,262346,130754261.36,120,164,-916,92,0,502,496,499,501,947,2
20260201,000017,深中华A,2,754,-468,-37,413833,311793474,531,939,12598,85,0,774,732,766,791,1388,2
20260201,000019,深粮控股,2,739,193,14,327328,243043001.73,579,786,2623,249,0,758,716,725,725,171,2
20260201,000020,深华发Ａ,2,1492,226,33,161426,246939347.32,1131,891,14899,435,0,1605,1440,1450,1459,994,2
20260201,000021,深科技,2,3249,450,140,1735602,5566794832.26,868,1104,5068,131,0,3338,3068,3109,3109,401,2
20260201,000025,特  力Ａ,2,1801,-390,-73,170563,308668859.15,432,434,4711,85,0,1859,1778,1841,1874,430,2
20260201,000026,飞亚达,2,1586,-56,-9,41415,65452991,238,114,3861,51,0,1598,1560,1595,1595,191,2
20260201,000027,深圳能源,2,680,-29,-2,270622,183011142.3,279,57,1235,94,0,685,666,681,682,99,2
20260201,000028,国药一致,2,2606,-118,-31,59475,155766656.6,216,124,1137,54,0,2655,2598,2620,2637,79,2
20260201,000029,深深房Ａ,2,2208,50,11,239074,528106983.86,660,268,11544,348,0,2277,2132,2200,2197,610,2
20260201,000030,富奥股份,2,548,-36,-2,203685,111450928.16,309,122,1607,130,0,555,538,551,550,116,2
20260201,000031,大悦城,2,391,483,18,2334003,935411914.09,885,545,-2358,368,0,410,377,379,373,165,2
20260201,000032,深桑达Ａ,2,2081,-280,-60,324670,680223865.41,509,285,-6347,95,0,2166,2057,2137,2141,346,2
20260201,000034,神州数码,2,3804,-206,-80,170835,653654615.31,384,282,3080,76,0,3920,3771,3860,3884,248,2
