date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260201,300440,运达科技,2,1436,70,10,144834,208899696.06,400,331,11814,72,0,1473,1416,1424,1426,387,2
20260201,300020,ST银江,2,431,70,3,172636,74587955.8,257,225,-473,51,0,438,427,430,428,128,2
20260201,002691,冀凯股份,2,862,70,6,87350,74889955.28,304,260,-4794,72,0,870,844,849,856,345,2
20260201,002394,联发股份,2,1440,70,10,72030,103671745,280,223,1326,61,0,1460,1420,1435,1430,108,2
20260201,000504,*ST生物,2,867,70,6,20073,17300587,209,61,41014,31,0,871,853,861,861,1181,2
20260201,600846,同济科技,2,1304,69,9,54128,70245853,224,87,3711,115,1,1309,1280,1290,1295,198,2
20260201,920943,优机股份,2,2609,69,18,18782,48825606.29,278,363,3981,39,0,2638,2566,2608,2591,416,2
20260201,300956,英力股份,2,1741,69,12,36171,62583256.12,272,172,28783,56,0,1749,1702,1729,1729,273,2
20260201,603678,火炬电子,2,3920,69,27,211804,817474882,539,445,4365,69,1,3970,3760,3861,3893,304,2
20260201,600679,上海凤凰,2,1308,69,9,45954,60344728,177,134,4349,94,1,1324,1301,1306,1299,315,2
20260201,301355,南王科技,2,1308,69,9,59098,76639115.4,277,590,24354,78,0,1311,1275,1281,1299,169,2
20260201,603877,太平鸟,2,1603,69,11,23356,37377586,270,50,20041,63,1,1615,1572,1600,1592,176,2
20260201,002077,大港股份,2,1750,69,12,410449,719809404.96,455,707,12594,57,0,1792,1713,1718,1738,303,2
20260201,600148,长春一东,2,2050,69,14,18915,38602689,270,134,26628,73,1,2069,2014,2040,2036,611,2
20260201,002451,摩恩电气,2,1025,69,7,172503,175670145.04,246,393,48047,56,0,1028,1003,1020,1018,583,2
20260201,688777,中控技术,2,8383,68,57,393092,3209573951,743,502,11525,80,1,8518,7899,8158,8326,650,2
20260201,605218,伟时电子,2,1914,68,13,20159,38334305,284,95,12577,74,1,1928,1874,1901,1901,308,2
20260201,603335,迪生力,2,589,68,4,126741,73897975,291,296,-4894,90,1,591,574,582,585,1166,2
20260201,688486,龙迅股份,2,7660,68,52,22114,168020249,564,297,6152,89,1,7820,7391,7616,7608,676,2
20260201,603569,长久物流,2,740,68,5,68433,50449205,231,113,6907,58,1,743,726,733,735,159,2
