date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260201,920119,N美德乐,2,10950,16146,6762,103173,1239815521.57,8200,7165,2658,-,0,14265,10831,13500,4188,431,2
20260201,688583,思看科技,2,12868,2000,2145,12280,158019426,0,399,10789,65,1,12868,12868,12868,10723,985,2
20260201,688025,杰普特,2,16170,2000,2695,72739,1114579366,2057,765,5657,318,1,16170,13398,13398,13475,697,2
20260201,301486,致尚科技,2,19837,2000,3306,88367,1586025224.76,2321,1220,11730,138,0,19837,16000,16548,16531,977,2
20260201,300731,科创新源,2,6992,1999,1165,230100,1513584667.4,1805,1915,24526,206,0,6992,5940,5950,5827,1428,2
20260201,300805,电声股份,2,1567,1998,261,519000,763414022.28,2198,1800,14851,284,0,1567,1280,1286,1306,426,2
20260201,688280,精进电动-UW,2,1117,1998,186,767555,814597654,1654,1475,5918,300,1,1117,963,979,931,990,2
20260201,688330,宏力达,2,4580,1690,662,151852,645015190,1480,1085,3321,570,1,4628,4048,4160,3918,166,2
20260201,688167,炬光科技,2,25198,1677,3618,76276,1790050554,2054,849,756003,158,1,25519,21087,21580,21580,1030,2
20260201,301235,华康洁净,2,5228,1592,718,188996,951178377.4,1752,2598,6910,160,0,5350,4560,4697,4510,310,2
20260201,300385,雪浪环境,2,1167,1543,156,341407,378903425.45,1573,1175,-1849,104,0,1189,1030,1051,1011,4718,2
20260201,688350,富淼科技,2,2742,1411,339,135054,350478093,1735,1024,7624,249,1,2767,2350,2375,2403,203,2
20260201,301266,宇邦新材,2,4885,1355,583,195258,936801242.23,1420,1872,7638,222,0,5000,4389,4400,4302,298,2
20260201,301317,鑫磊股份,2,4215,1337,497,108908,443591220.89,1834,2086,1310,212,0,4348,3666,3681,3718,493,2
20260201,688312,燕麦科技,2,3885,1317,452,101088,376404998,1302,693,4404,161,1,3938,3491,3491,3433,383,2
20260201,300189,神农种业,2,866,1291,99,4714638,4075719317.18,2099,5320,117608,254,0,920,759,770,767,1215,2
20260201,300570,太辰光,2,12510,1291,1430,489176,5810504009.17,1545,2545,8186,191,0,12552,10840,10888,11080,1711,2
20260201,300757,罗博特科,2,37936,1290,4336,125323,4529933964.01,1562,832,-63797,156,0,38699,33450,33924,33600,3819,2
20260201,688200,华峰测控,2,30127,1225,3288,46805,1344743242,1897,345,7915,131,1,31289,26198,26359,26839,1052,2
20260201,688008,澜起科技,2,18185,1213,1967,914321,15888889058,1583,798,9579,137,1,18588,16020,16048,16218,1696,2
